"order_delivery_no","order_id","invoice_type"
"CK21063001711","1408610518427578369","1"
"CK21062808027","1408610518688980993","2"
"CK21080200851","1408610518733168641","2"
"CK21062806209","1408610518733168641","2"
"CK21080201234","1408610519045496833","2"
"CK21062805925","1408610519045496833","2"
"CK21062802778","1408610519076159489","5"
"CK21063003436","1408610519144284162","1"
"CK21080200925","1408610519227219969","1"
"CK21062903805","1408610519227219969","1"
"CK21072805225","1408610519417802753","1"
"CK21062808910","1408610519417802753","1"
"CK21072805228","1408610519455182850","2"
"CK21062808908","1408610519455182850","2"
"CK21080201508","1408610519915962370","1"
"CK21062805691","1408610519915962370","1"
"CK21072805105","1408610519936057345","1"
"CK21062809001","1408610519936057345","1"
"CK21063004256","1408610520228290561","2"
"CK21072805217","1408610520422596610","2"
"CK21062808916","1408610520422596610","2"
"CK21072805186","1408610520681275393","2"
"CK21062808944","1408610520681275393","2"
"CK21072802590","1408610520806117377","2"
"CK21062904510","1408610520806117377","2"
"CK21072806824","1408610521196187649","2"
"CK21062904252","1408610521196187649","2"
"CK21063000638","1408610521563381761","2"
"CK21072802905","1408610521664987137","1"
"CK21063003391","1408610521664987137","1"
"CK21063003400","1408610521847291906","2"
"CK21062807320","1408610522058375169","2"
"CK21072805078","1408610522119921666","2"
"CK21063002292","1408610522119921666","2"
"CK21080202452","1408610522322616321","1"
"CK21062905052","1408610522322616321","1"
"CK21072803652","1408610522330939394","2"
"CK21062810101","1408610522330939394","2"
"CK21072802585","1408610522473611266","2"
"CK21063003566","1408610522473611266","2"
"CK21072805961","1408610522822615042","2"
"CK21063004119","1408610522822615042","2"
"CK21072802589","1408610523453710338","5"
"CK21062904511","1408610523453710338","5"
"CK21063000742","1408610523669864450","2"
"CK21072807516","1408610524145770497","2"
"CK21063005540","1408610524145770497","2"
"CK21072806795","1408610524219707393","2"
"CK21063005949","1408610524219707393","2"
"CK21063001079","1408610524559130626","1"
"CK21063004923","1408610524642942978","2"
"CK21062900749","1408610524723023874","2"
"CK21072806797","1408610525105278978","2"
"CK21063005948","1408610525105278978","2"
"CK21072803005","1408610525279535106","2"
"CK21063003323","1408610525279535106","2"
"CK21072805557","1408610525390491650","1"
"CK21063006699","1408610525390491650","1"
"CK21062904721","1408610525480927234","1"
"CK21072802900","1408610525675130882","2"
"CK21062810657","1408610525675130882","2"
"CK21072802568","1408610526016430081","2"
"CK21062902424","1408610526016430081","2"
"CK21062905965","1408610526082551809","2"
"CK21063001096","1408610526090366977","2"
"CK21062807229","1408610526198087682","2"
"CK21062807247","1408610526378442754","2"
"CK21072802034","1408610526426116097","5"
"CK21062902831","1408610526426116097","5"
"CK21072804701","1408610526448443393","2"
"CK21062809303","1408610526448443393","2"
"CK21080201713","1408610526513602561","2"
"CK21062805525","1408610526513602561","2"
"CK21072802899","1408610526526779393","2"
"CK21062810659","1408610526526779393","2"
"CK21072806057","1408610526538842114","2"
"CK21063006410","1408610526538842114","2"
"CK21062807596","1408610526556508161","2"
"CK21072807384","1408610526688886786","2"
"CK21063005614","1408610526688886786","2"
"CK21072805118","1408610526798888961","2"
"CK21062808994","1408610526798888961","2"
"CK21072805038","1408610527042473985","2"
"CK21063002306","1408610527042473985","2"
"CK21063000674","1408610527235411970","2"
"CK21062806972","1408610527327297537","5"
"CK21062900904","1408610527355715585","2"
"CK21062807333","1408610527444811777","2"
"CK21063005515","1408610527519293442","2"
"CK21072805026","1408610527528697858","2"
"CK21062809060","1408610527528697858","2"
"CK21062807684","1408610527566372865","5"
"CK21072805175","1408610527696470017","2"
"CK21063002239","1408610527696470017","2"
"CK21063002334","1408610527834808321","2"
"CK21072806803","1408610528051970050","2"
"CK21063005945","1408610528051970050","2"
"CK21062807115","1408610528088416257","1"
"CK21063004297","1408610528090734593","2"
"CK21062807144","1408610528288182273","5"
"CK21072806838","1408610528569774082","1"
"CK21063004195","1408610528569774082","1"
"CK21080200382","1408610528579149825","2"
"CK21062806556","1408610528579149825","2"
"CK21072805451","1408610528645271553","2"
"CK21062808759","1408610528645271553","2"
"CK21072805155","1408610528648503297","2"
"CK21062808967","1408610528648503297","2"
"CK21062807133","1408610528649465858","2"
"CK21072805157","1408610528658841601","2"
"CK21062808961","1408610528658841601","2"
"CK21062903619","1408610528752418818","2"
"CK21072803939","1408610528912744450","2"
"CK21062809882","1408610528912744450","2"
"CK21063000772","1408610528917901313","2"
"CK21062807238","1408610529068527618","1"
"CK21080203360","1408610529108934657","1"
"CK21062804167","1408610529108934657","1"
"CK21062805523","1408610529160282113","2"
"CK21080203270","1408610529253076994","2"
"CK21062904676","1408610529253076994","2"
"CK21063005351","1408610529416134657","2"
"CK21063000697","1408610529451565058","2"
"CK21080201200","1408610529701273602","2"
"CK21062805953","1408610529701273602","2"
"CK21062900814","1408610529712979969","2"
"CK21062903303","1408610529928728577","2"
"CK21072805131","1408610529969782785","2"
"CK21062808982","1408610529969782785","2"
"CK21080200210","1408610530036817925","2"
"CK21063000399","1408610530036817925","2"
"CK21063002688","1408610530044264449","2"
"CK21072804407","1408610530101682178","2"
"CK21062809535","1408610530101682178","2"
"CK21072806870","1408610530356547586","2"
"CK21063005912","1408610530356547586","2"
"CK21072804713","1408610530413363201","2"
"CK21062809292","1408610530413363201","2"
"CK21072805257","1408610530554667009","2"
"CK21062808880","1408610530554667009","2"
"CK21063002211","1408610530694447106","2"
"CK21062905800","1408610530703785985","2"
"CK21072806889","1408610530968342534","2"
"CK21063005900","1408610530968342534","2"
"CK21062900752","1408610531061190657","2"
"CK21063002540","1408610531074760706","5"
"CK21062905796","1408610531366801409","1"
"CK21062808402","1408610531379957762","2"
"CK21072805394","1408610531513806850","2"
"CK21062808799","1408610531513806850","2"
"CK21080201250","1408610531526758401","2"
"CK21062805910","1408610531526758401","2"
"CK21063000783","1408610531646488577","2"
"CK21062807146","1408610531676790786","2"
"CK21072806641","1408610531709468674","2"
"CK21063006053","1408610531709468674","2"
"CK21062903770","1408610531736473601","2"
"CK21072805265","1408610531819786241","2"
"CK21062808876","1408610531819786241","2"
"CK21062905867","1408610531861729282","2"
"CK21062807248","1408610531987558402","2"
"CK21072802030","1408610531994681346","2"
"CK21062902835","1408610531994681346","2"
"CK21063004785","1408610532175036418","2"
"CK21062803520","1408610532470108161","2"
"CK21062903962","1408610532533022722","2"
"CK21063002078","1408610532556652545","2"
"CK21072805240","1408610532700274689","2"
"CK21063002210","1408610532700274689","2"
"CK21072805472","1408610532755116034","2"
"CK21063002061","1408610532755116034","2"
"CK21063001696","1408610532812570626","2"
"CK21063002204","1408610532900651009","2"
"CK21080202331","1408610533061505026","2"
"CK21062804992","1408610533061505026","2"
"CK21063002209","1408610533112205313","2"
"CK21063000782","1408610533455564802","2"
"CK21062905132","1408610533640318978","2"
"CK21072806869","1408610533813641218","2"
"CK21063005913","1408610533813641218","2"
"CK21063005424","1408610534005592066","2"
"CK21062900949","1408610534087639042","2"
"CK21072807177","1408610534146293761","2"
"CK21063005721","1408610534146293761","2"
"CK21080202332","1408610534483374082","2"
"CK21062905134","1408610534483374082","2"
"CK21080203749","1408610534487363586","2"
"CK21062901663","1408610534487363586","2"
"CK21063001862","1408610534533500930","5"
"CK21072805978","1408610534578307073","2"
"CK21063004127","1408610534578307073","2"
"CK21062905410","1408610534595149826","2"
"CK21080202329","1408610534663135234","1"
"CK21062905136","1408610534663135234","1"
"CK21062807688","1408610534741884930","2"
"CK21072805962","1408610534781169666","2"
"CK21063006465","1408610534781169666","2"
"CK21080200213","1408610534823481346","2"
"CK21063000397","1408610534823481346","2"
"CK21062807423","1408610534872924161","2"
"CK21072802797","1408610534885507073","2"
"CK21063003457","1408610534885507073","2"
"CK21063004747","1408610534902284289","2"
"CK21072806168","1408610534909722625","2"
"CK21063006343","1408610534909722625","2"
"CK21062808698","1408610534910599169","2"
"CK21080202069","1408610535045779457","1"
"CK21062905234","1408610535045779457","1"
"CK21063003099","1408610535082639362","1"
"CK21063002177","1408610535161315330","5"
"CK21063004804","1408610535172595714","2"
"CK21072805395","1408610535272271873","2"
"CK21062808798","1408610535272271873","2"
"CK21062807387","1408610535280087041","1"
"CK21072803699","1408610535309447170","2"
"CK21062810057","1408610535309447170","2"
"CK21072806792","1408610535321714689","2"
"CK21063005951","1408610535321714689","2"
"CK21062903828","1408610535341670401","2"
"CK21072805503","1408610535375224834","2"
"CK21063002048","1408610535375224834","2"
"CK21080201817","1408610535548207105","1"
"CK21062905344","1408610535548207105","1"
"CK21072806562","1408610535573372929","2"
"CK21063006118","1408610535573372929","2"
"CK21080201043","1408610535579443201","2"
"CK21062806071","1408610535579443201","2"
"CK21080200754","1408610535607447553","2"
